calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
0 0.000000 0.000000 0.000000 0.000000 25.000000 0.000000 0.000000 25.000000 0.000000 0.007615 0.000000 0.000000 0.000000 0.000000 
1 0.200000 6.003933 0.000000 0.000000 28.328200 0.000000 0.000000 25.274515 0.045723 0.008677 6.003933 0.000000 0.000000 0.000000 
1 0.400000 6.003933 0.000000 0.000000 31.656400 0.000000 0.000000 25.274515 0.045723 0.009738 0.000000 0.000000 0.000000 0.000000 
1 0.600000 15.009832 0.000000 0.000000 34.984600 0.000000 0.000000 26.887874 0.133422 0.010799 9.005899 0.000000 0.000000 0.000000 
1 0.800000 25.516714 0.000000 0.026803 38.311266 0.019655 -0.003041 30.884286 0.246848 0.011861 10.506882 0.026803 0.000000 0.000000 
1 1.000000 36.019822 0.281585 0.000000 41.639466 -0.012295 -0.003041 37.380843 0.371466 0.012922 10.506882 -0.026803 0.000000 0.000000 
2 1.000000 36.019822 0.281585 0.000000 41.639466 -0.012295 -0.003041 37.380843 0.371466 0.012922 0.000000 0.000000 80.000000 0.000000 
3 1.000000 32.676917 0.184799 -0.001877 18.513383 0.039838 -0.001257 15.959720 -0.066926 0.003950 0.000000 0.000000 0.000000 0.000000 
1 1.200000 44.684761 0.162259 -0.001877 21.841517 0.018061 -0.001168 14.922005 -0.019495 0.005011 12.007865 0.000000 0.000000 0.000000 
1 1.400000 56.692605 0.139719 -0.001877 25.169655 -0.001292 -0.001055 15.176399 0.040680 0.006073 12.007865 0.000000 0.000000 0.000000 
1 1.600000 68.700449 0.117179 -0.001877 28.497799 -0.017644 -0.000918 17.028954 0.113598 0.007134 12.007865 0.000000 0.000000 0.000000 
1 1.800000 77.706332 0.100274 -0.001877 31.825958 -0.029152 -0.000797 19.653665 0.177845 0.008195 9.005899 0.000000 0.000000 0.000000 
1 2.000000 89.714176 0.077734 -0.001877 35.154115 -0.038747 -0.000613 25.106383 0.276251 0.009256 12.007865 0.000000 0.000000 0.000000 
2 2.000000 89.714176 0.077734 -0.001877 35.154115 -0.038747 -0.000613 25.106383 0.276251 0.009256 0.000000 0.000000 80.000000 5.000000 
3 2.000000 87.292270 -1.404511 -0.033332 17.109757 -0.005760 -0.000156 11.288762 -0.016671 0.003047 0.000000 0.000000 0.000000 0.000000 
1 2.200000 99.293465 -1.804684 -0.033332 20.434623 -0.110527 0.001063 11.331133 0.019894 0.004108 12.007865 0.000000 0.000000 0.000000 
1 2.400000 109.794511 -2.154835 -0.006529 23.762847 -0.116760 0.001345 12.202789 0.063055 0.005169 10.506882 0.026803 0.000000 0.000000 
1 2.600000 118.800218 -2.213633 -0.006529 27.091081 -0.119933 0.001649 13.757890 0.109609 0.006231 9.005899 0.000000 0.000000 0.000000 
1 2.800000 124.804023 -2.252831 0.100684 30.385935 0.134147 -0.002111 15.323341 0.146827 0.007292 6.003933 0.107213 0.000000 0.000000 
1 3.000000 129.284167 -1.800220 0.181094 33.614395 0.569149 -0.008025 16.875048 0.179125 0.008353 4.502949 0.080410 0.000000 0.000000 
1 3.200000 135.189919 -0.718877 0.288307 36.725273 1.042340 -0.022285 19.483014 0.227207 0.009414 6.003933 0.107213 0.000000 0.000000 
2 3.200000 135.189919 -0.718877 0.288307 36.725273 1.042340 -0.022285 19.483014 0.227207 0.009414 0.000000 0.000000 80.000000 -25.000000 
3 3.200000 135.715818 -0.227628 0.300545 17.466940 0.585711 -0.006948 10.019403 -0.022319 0.002796 0.000000 0.000000 0.000000 0.000000 
1 3.400000 145.751731 2.882839 0.327348 20.529916 1.511303 -0.016395 10.196175 0.005502 0.003858 10.506882 0.026803 0.000000 0.000000 
2 3.400000 145.751731 2.882839 0.327348 20.529916 1.511303 -0.016395 10.196175 0.005502 0.003858 0.000000 0.000000 80.000000 -30.000000 
3 3.400000 141.506860 2.572280 0.328605 12.731614 0.952185 -0.013771 8.448623 -0.041422 0.002557 0.000000 0.000000 0.000000 0.000000 
1 3.600000 152.872226 6.447496 0.328605 15.858308 1.860199 -0.023679 8.183967 -0.012363 0.003618 12.007865 -0.000000 0.000000 0.000000 
2 3.600000 152.872226 6.447496 0.328605 15.858308 1.860199 -0.023679 8.183967 -0.012363 0.003618 0.000000 0.000000 80.000000 25.000000 
3 3.600000 152.660297 6.278711 0.326676 10.829656 0.678307 0.020743 6.959545 -0.032164 0.002260 0.000000 0.000000 0.000000 0.000000 
1 3.800000 164.033115 10.131999 0.326676 13.688825 1.950661 0.012037 6.862929 -0.006466 0.003321 12.007865 0.000000 0.000000 0.000000 
1 4.000000 173.984331 13.503626 0.353480 16.574580 3.054644 -0.000042 7.456937 0.026268 0.004382 10.506882 0.026803 0.000000 0.000000 
1 4.200000 178.208881 15.062388 0.433890 19.330420 4.240387 -0.008337 8.332956 0.044172 0.005443 4.502949 0.080410 0.000000 0.000000 
1 4.400000 182.294575 16.955442 0.514299 21.916874 5.488012 -0.020395 9.568360 0.065513 0.006505 4.502949 0.080410 0.000000 0.000000 
1 4.600000 190.135449 21.385668 0.567906 24.632435 6.285736 -0.051904 11.900936 0.114898 0.007566 9.005899 0.053607 0.000000 0.000000 
1 4.800000 198.993058 27.036982 0.594709 27.789178 6.314573 -0.096442 15.518630 0.180745 0.008627 10.506882 0.026803 0.000000 0.000000 
2 4.800000 198.993058 27.036982 0.594709 27.789178 6.314573 -0.096442 15.518630 0.180745 0.008627 0.000000 0.000000 80.000000 -20.000000 
3 4.800000 198.323758 26.815786 0.596672 14.395495 3.492097 -0.011985 8.035864 0.004534 0.002630 0.000000 0.000000 0.000000 0.000000 
1 5.000000 208.256786 33.562917 0.596672 16.954369 4.713141 -0.029731 9.436243 0.030660 0.003692 12.007865 -0.000000 0.000000 0.000000 
1 5.200000 218.189814 40.310048 0.596672 19.801032 5.510504 -0.054638 11.460359 0.067328 0.004753 12.007865 0.000000 0.000000 0.000000 
1 5.400000 226.881214 46.213788 0.623475 22.843899 5.960298 -0.083795 14.089371 0.107870 0.005814 10.506882 0.026803 0.000000 0.000000 
2 5.400000 226.881214 46.213788 0.623475 22.843899 5.960298 -0.083795 14.089371 0.107870 0.005814 0.000000 0.000000 80.000000 25.000000 
3 5.400000 225.664878 45.137244 0.618929 12.822155 3.622589 0.020154 8.542648 0.023846 0.002392 0.000000 0.000000 0.000000 0.000000 
1 5.600000 229.332533 47.749688 0.699338 14.674526 5.238537 0.013221 10.114489 0.032089 0.003453 4.502949 0.080410 0.000000 0.000000 
1 5.800000 233.927152 51.614488 0.806551 16.218513 6.754807 -0.001747 12.175220 0.046437 0.004515 6.003933 0.107213 0.000000 0.000000 
1 6.000000 242.236500 60.283027 0.806551 18.181761 7.675177 -0.040882 14.993132 0.083950 0.005576 12.007865 -0.000000 0.000000 0.000000 
